calibrant,replicate,dilution,volume,well
fluorescein,1,1,200,A1
fluorescein,1,0.5,200,A2
fluorescein,1,0.25,200,A3
fluorescein,1,0.125,200,A4
fluorescein,1,0.0625,200,A5
fluorescein,1,0.03125,200,A6
fluorescein,1,0.015625,200,A7
fluorescein,1,0.0078125,200,A8
fluorescein,1,0.00390625,200,A9
fluorescein,1,0.001953125,200,A10
fluorescein,1,0.000976563,200,A11
fluorescein,1,0,200,A12
fluorescein,2,1,200,B1
fluorescein,2,0.5,200,B2
fluorescein,2,0.25,200,B3
fluorescein,2,0.125,200,B4
fluorescein,2,0.0625,200,B5
fluorescein,2,0.03125,200,B6
fluorescein,2,0.015625,200,B7
fluorescein,2,0.0078125,200,B8
fluorescein,2,0.00390625,200,B9
fluorescein,2,0.001953125,200,B10
fluorescein,2,0.000976563,200,B11
fluorescein,2,0,200,B12
