plasmid,arabinose_pc,volume,well
,,,A1
pS381,0,200,A2
pS381,0,200,A3
pS381,0,200,A4
pS381,0.1,200,A5
pS381,0.1,200,A6
pS381,0.1,200,A7
pS381_ara_mCherry,0,200,A8
pS381_ara_mCherry,0,200,A9
pS381_ara_mCherry,0,200,A10
none,0,200,A11
,,,A12
,,,B1
pS381_ara_mCherry,0.00001,200,B2
pS381_ara_mCherry,0.00001,200,B3
pS381_ara_mCherry,0.00001,200,B4
pS381_ara_mCherry,0.00003,200,B5
pS381_ara_mCherry,0.00003,200,B6
pS381_ara_mCherry,0.00003,200,B7
pS381_ara_mCherry,0.0001,200,B8
pS381_ara_mCherry,0.0001,200,B9
pS381_ara_mCherry,0.0001,200,B10
none,0,200,B11
,,,B12
,,,C1
pS381_ara_mCherry,0.0003,200,C2
pS381_ara_mCherry,0.0003,200,C3
pS381_ara_mCherry,0.0003,200,C4
pS381_ara_mCherry,0.001,200,C5
pS381_ara_mCherry,0.001,200,C6
pS381_ara_mCherry,0.001,200,C7
pS381_ara_mCherry,0.003,200,C8
pS381_ara_mCherry,0.003,200,C9
pS381_ara_mCherry,0.003,200,C10
none,0,200,C11
,,,C12
,,,D1
pS381_ara_mCherry,0.01,200,D2
pS381_ara_mCherry,0.01,200,D3
pS381_ara_mCherry,0.01,200,D4
pS381_ara_mCherry,0.03,200,D5
pS381_ara_mCherry,0.03,200,D6
pS381_ara_mCherry,0.03,200,D7
pS381_ara_mCherry,0.1,200,D8
pS381_ara_mCherry,0.1,200,D9
pS381_ara_mCherry,0.1,200,D10
none,0,200,D11
,,,D12
,,,E1
pS381,0,200,E2
pS381,0,200,E3
pS381,0,200,E4
pS381,0.1,200,E5
pS381,0.1,200,E6
pS381,0.1,200,E7
pS381_ara_mTagBFP2,0,200,E8
pS381_ara_mTagBFP2,0,200,E9
pS381_ara_mTagBFP2,0,200,E10
none,0,200,E11
,,,E12
,,,F1
pS381_ara_mTagBFP2,0.00001,200,F2
pS381_ara_mTagBFP2,0.00001,200,F3
pS381_ara_mTagBFP2,0.00001,200,F4
pS381_ara_mTagBFP2,0.00003,200,F5
pS381_ara_mTagBFP2,0.00003,200,F6
pS381_ara_mTagBFP2,0.00003,200,F7
pS381_ara_mTagBFP2,0.0001,200,F8
pS381_ara_mTagBFP2,0.0001,200,F9
pS381_ara_mTagBFP2,0.0001,200,F10
none,0,200,F11
,,,F12
,,,G1
pS381_ara_mTagBFP2,0.0003,200,G2
pS381_ara_mTagBFP2,0.0003,200,G3
pS381_ara_mTagBFP2,0.0003,200,G4
pS381_ara_mTagBFP2,0.001,200,G5
pS381_ara_mTagBFP2,0.001,200,G6
pS381_ara_mTagBFP2,0.001,200,G7
pS381_ara_mTagBFP2,0.003,200,G8
pS381_ara_mTagBFP2,0.003,200,G9
pS381_ara_mTagBFP2,0.003,200,G10
none,0,200,G11
,,,G12
,,,H1
pS381_ara_mTagBFP2,0.01,200,H2
pS381_ara_mTagBFP2,0.01,200,H3
pS381_ara_mTagBFP2,0.01,200,H4
pS381_ara_mTagBFP2,0.03,200,H5
pS381_ara_mTagBFP2,0.03,200,H6
pS381_ara_mTagBFP2,0.03,200,H7
pS381_ara_mTagBFP2,0.1,200,H8
pS381_ara_mTagBFP2,0.1,200,H9
pS381_ara_mTagBFP2,0.1,200,H10
none,0,200,H11
,,,H12
