Well positions,OD600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0s,1799s,3599s,5399s,7199s,8999s,10799s,12599s,14399s,16199s,17999s,19799s,21599s,23399s,25198s,26998s,28798s,30598s,32398s,34198s,35998s,37798s,39598s,41398s,43198s,44998s,46798s,48598s,50398s,52197s,53997s,55797s,0s,1799s,3599s,5399s,7199s,8999s,10799s,12599s,14399s,16199s,17999s,19799s,21598s,23399s,25199s,26998s,28798s,30598s,32398s,34198s,35998s,37798s,39598s,41398s,43198s,44998s,46798s,48597s,50397s,52197s,53997s,55797s,0s,1799s,3599s,5399s,7199s,8999s,10799s,12599s,14399s,16199s,17999s,19799s,21598s,23399s,25199s,26998s,28798s,30598s,32398s,34198s,35998s,37798s,39598s,41398s,43198s,44998s,46798s,48597s,50397s,52197s,53997s,55797s
,30.1 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.8 °C,29.9 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.7 °C,29.8 °C,29.7 °C,29.7 °C,29.7 °C,29.7 °C,29.7 °C,29.7 °C,29.7 °C,29.7 °C,29.7 °C,29.8 °C,29.8 °C,30.0 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.8 °C,29.8 °C,29.8 °C,29.8 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C,29.9 °C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,0.1289,0.144,0.1613,0.175,0.1935,0.221,0.2559,0.2899,0.3322,0.3936,0.4447,0.4738,0.4877,0.4998,0.5245,0.5522,0.5778,0.6039,0.6252,0.6473,0.6672,0.6865,0.7035,0.7182,0.7304,0.7418,0.7506,0.7586,0.7648,0.7718,0.7758,0.7807,5,0,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-3,-3,-4,-4,-4,-5,-5,-6,-6,-7,-7,-7,-7,-6,-6,-6,-6,-6,-5,-6,365,352,349,352,346,354,342,339,336,335,335,331,330,329,324,328,327,325,326,327,326,328,324,327,329,329,333,331,331,335,334,341
A3,0.1319,0.1471,0.1618,0.175,0.1946,0.2211,0.2548,0.2893,0.3335,0.3901,0.4367,0.4659,0.4817,0.4975,0.5225,0.5503,0.5766,0.6025,0.6256,0.6491,0.6701,0.6917,0.7072,0.7218,0.7345,0.7466,0.7558,0.7662,0.7717,0.7794,0.7845,0.79,5,0,-1,-2,-1,-1,-1,-1,-2,-1,-2,-2,-3,-3,-4,-4,-5,-5,-5,-6,-6,-6,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,365,351,348,354,348,348,343,343,335,334,333,332,328,329,325,327,327,324,325,327,326,325,323,327,329,330,333,331,330,334,335,340
A4,0.137,0.1504,0.1677,0.1834,0.2036,0.2301,0.2658,0.3031,0.3501,0.401,0.4427,0.4659,0.4846,0.5067,0.5298,0.5533,0.576,0.6009,0.6281,0.6506,0.6711,0.688,0.703,0.7163,0.7292,0.7399,0.7485,0.7591,0.7645,0.7718,0.7773,0.7818,5,0,-1,-1,-1,-1,-2,-2,-2,-2,-3,-2,-3,-3,-4,-4,-4,-5,-5,-6,-6,-6,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,367,352,349,352,346,353,341,342,335,333,333,331,328,328,324,326,328,327,325,324,323,327,325,327,328,329,332,330,333,335,336,338
A5,0.1387,0.1493,0.165,0.1793,0.1992,0.225,0.2562,0.2911,0.3332,0.3873,0.4338,0.4646,0.4851,0.5037,0.5277,0.5538,0.58,0.6053,0.6304,0.656,0.6744,0.6946,0.7112,0.7267,0.7391,0.7515,0.7624,0.7719,0.7773,0.786,0.7911,0.7956,5,0,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-7,-7,-6,-6,-6,-6,-6,-5,-6,367,350,349,353,350,354,344,341,338,337,331,331,329,329,327,325,328,326,325,325,325,325,324,328,328,328,330,329,330,333,332,336
A6,0.1319,0.1417,0.1573,0.1726,0.1916,0.217,0.2479,0.2835,0.3247,0.3772,0.423,0.4535,0.474,0.4917,0.5169,0.5435,0.5677,0.5935,0.6193,0.6436,0.6633,0.6825,0.699,0.7154,0.7267,0.7375,0.7498,0.7585,0.7637,0.7742,0.7775,0.7823,4,0,-1,-1,-2,-2,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-6,-7,-7,-6,-6,-6,-6,-6,-6,-6,368,352,347,356,348,352,344,341,335,333,334,332,328,328,325,326,327,327,326,327,325,324,325,327,332,329,332,329,330,334,335,338
A7,0.138,0.1476,0.1638,0.1806,0.2026,0.2296,0.2621,0.3013,0.3478,0.3989,0.4421,0.469,0.4963,0.5164,0.5413,0.5599,0.5777,0.6,0.6275,0.6503,0.6704,0.687,0.7034,0.718,0.7271,0.7376,0.7486,0.7574,0.7625,0.7712,0.7756,0.7813,5,0,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-3,-3,-4,-4,-5,-5,-5,-6,-7,-7,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,368,353,349,355,350,352,341,341,338,333,333,332,327,326,323,327,325,325,327,325,325,327,324,328,328,328,331,330,330,333,334,337
A8,0.1486,0.1589,0.1775,0.1952,0.2173,0.2445,0.2811,0.3231,0.3707,0.4159,0.4568,0.4814,0.5038,0.529,0.5613,0.5883,0.5995,0.6196,0.6436,0.6658,0.686,0.7022,0.7173,0.7293,0.7407,0.7495,0.7595,0.7668,0.771,0.7786,0.7794,0.7834,4,0,-1,-1,-2,-2,-1,-1,-2,-1,-2,-2,-3,-3,-4,-4,-5,-4,-5,-6,-6,-6,-7,-7,-7,-6,-6,-5,-5,-6,-6,-6,364,351,348,354,345,351,340,339,334,333,328,329,324,324,321,322,324,324,324,322,321,326,324,326,327,328,332,331,330,334,336,337
A9,0.1162,0.1237,0.1353,0.1474,0.1617,0.1774,0.1975,0.2207,0.2524,0.2913,0.3377,0.386,0.4259,0.4508,0.4777,0.5072,0.5311,0.5517,0.5736,0.5969,0.6198,0.6427,0.663,0.6808,0.696,0.7079,0.7223,0.7324,0.74,0.7507,0.756,0.7637,5,0,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-3,-3,-4,-4,-4,-5,-5,-6,-6,-6,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,365,352,349,356,348,355,346,347,339,337,334,332,330,330,326,327,325,324,325,325,324,324,323,326,326,327,328,326,326,329,331,335
A10,0.1474,0.1522,0.1674,0.1813,0.1997,0.2239,0.2549,0.2946,0.3368,0.3885,0.432,0.4632,0.4857,0.5077,0.5368,0.5695,0.588,0.5983,0.6243,0.644,0.6655,0.6829,0.6991,0.7129,0.7254,0.735,0.746,0.7553,0.7616,0.7694,0.7741,0.7799,4,1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-3,-4,-4,-4,-5,-6,-6,-6,-6,-7,-7,-7,-7,-6,-6,-6,-6,-6,-6,367,352,348,350,345,349,338,338,332,333,329,329,328,327,322,322,324,322,322,323,324,326,322,324,327,326,328,327,328,333,331,335
