Well positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OD600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,,,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,,,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,,,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,,,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,,,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,,,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,,,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11
0s,30.1 °C,,0.1289,0.1319,0.137,0.1387,0.1319,0.138,0.1486,0.1162,0.1474,0.0927,,,0.1427,0.1187,0.1367,0.1418,0.1189,0.141,0.1452,0.1193,0.1426,0.0978,,,0.1499,0.1194,0.144,0.1407,0.1174,0.1382,0.1451,0.1169,0.1384,0.0937,,,0.1437,0.1176,0.1356,0.1433,0.121,0.137,0.1508,0.1231,0.1439,0.097,,,0.1384,0.1366,0.1362,0.1346,0.1384,0.1475,0.1341,0.1423,0.1424,0.0936,,,0.1413,0.1441,0.141,0.1318,0.1536,0.137,0.1312,0.1421,0.1381,0.0978,,,0.1447,0.1428,0.1462,0.1331,0.1433,0.1363,0.1344,0.1494,0.1395,0.0933,,,0.1409,0.1488,0.1424,0.132,0.1386,0.1377,0.1367,0.1417,0.1411,0.094
1799s,29.9 °C,,0.144,0.1471,0.1504,0.1493,0.1417,0.1476,0.1589,0.1237,0.1522,0.0919,,,0.1537,0.1251,0.1441,0.1513,0.1252,0.1482,0.1548,0.1257,0.1481,0.0968,,,0.1587,0.1247,0.1508,0.1532,0.1216,0.1444,0.1539,0.1206,0.1422,0.0951,,,0.1515,0.1231,0.1425,0.1529,0.1295,0.1444,0.1584,0.1269,0.1492,0.0956,,,0.1436,0.1427,0.1433,0.1401,0.1457,0.1523,0.1411,0.1471,0.149,0.0933,,,0.1473,0.1509,0.147,0.139,0.1599,0.146,0.1397,0.1513,0.1466,0.097,,,0.1491,0.1493,0.1508,0.1399,0.1535,0.1448,0.1397,0.1545,0.1451,0.0934,,,0.1478,0.1564,0.1511,0.139,0.1473,0.1474,0.1452,0.1525,0.1511,0.0941
3599s,29.9 °C,,0.1613,0.1618,0.1677,0.165,0.1573,0.1638,0.1775,0.1353,0.1674,0.0924,,,0.1702,0.1356,0.1596,0.1685,0.1359,0.164,0.1724,0.1365,0.1646,0.0966,,,0.1755,0.1354,0.1663,0.1705,0.1324,0.1597,0.1702,0.1308,0.1569,0.0929,,,0.1684,0.1336,0.1587,0.1703,0.1401,0.1597,0.1743,0.1371,0.1643,0.0954,,,0.1584,0.1578,0.1594,0.155,0.1603,0.1657,0.1555,0.1612,0.164,0.0932,,,0.1628,0.1661,0.1628,0.1538,0.1751,0.1628,0.155,0.1685,0.1634,0.0967,,,0.1641,0.1654,0.1669,0.1552,0.1695,0.1618,0.1545,0.1701,0.1615,0.0938,,,0.1633,0.1728,0.1681,0.155,0.1643,0.1649,0.161,0.1704,0.1691,0.0944
5399s,29.9 °C,,0.175,0.175,0.1834,0.1793,0.1726,0.1806,0.1952,0.1474,0.1813,0.0924,,,0.1884,0.1476,0.1756,0.1859,0.1476,0.1794,0.1893,0.1473,0.1785,0.0965,,,0.1936,0.1471,0.1818,0.1877,0.1443,0.1746,0.1866,0.1414,0.1706,0.093,,,0.1859,0.1452,0.1727,0.1874,0.1515,0.1742,0.1894,0.1475,0.1777,0.0954,,,0.174,0.1727,0.1755,0.17,0.1752,0.1812,0.1701,0.1764,0.1788,0.093,,,0.177,0.1828,0.179,0.1679,0.1914,0.1788,0.1696,0.1856,0.1793,0.0965,,,0.1776,0.1819,0.1831,0.1694,0.1852,0.1772,0.1686,0.1862,0.1763,0.0934,,,0.1783,0.1897,0.1846,0.1706,0.1816,0.1826,0.1766,0.1869,0.1859,0.0943
7199s,29.9 °C,,0.1935,0.1946,0.2036,0.1992,0.1916,0.2026,0.2173,0.1617,0.1997,0.0924,,,0.2116,0.1616,0.1953,0.2079,0.1611,0.1981,0.2102,0.1608,0.1961,0.0964,,,0.2165,0.1609,0.201,0.2093,0.1577,0.1931,0.2067,0.1543,0.1882,0.0936,,,0.2075,0.1594,0.1917,0.2079,0.1639,0.1916,0.2075,0.1597,0.1939,0.0955,,,0.193,0.1914,0.1953,0.19,0.1944,0.2007,0.187,0.1945,0.1967,0.0927,,,0.1953,0.2035,0.1988,0.1856,0.2119,0.1991,0.1875,0.2058,0.1981,0.0965,,,0.1962,0.2031,0.2036,0.1873,0.2058,0.1978,0.1866,0.2064,0.1963,0.0934,,,0.1967,0.2096,0.2048,0.1873,0.1997,0.2021,0.1921,0.2047,0.2037,0.094
8999s,29.9 °C,,0.221,0.2211,0.2301,0.225,0.217,0.2296,0.2445,0.1774,0.2239,0.0921,,,0.2392,0.1779,0.2203,0.2347,0.1771,0.2216,0.2368,0.1761,0.2198,0.0962,,,0.2444,0.1774,0.2259,0.2364,0.1733,0.2165,0.2319,0.1696,0.2105,0.0929,,,0.2323,0.1743,0.2138,0.2313,0.1782,0.2125,0.2282,0.1725,0.2132,0.0954,,,0.2163,0.2142,0.2196,0.2142,0.2191,0.2269,0.2092,0.2185,0.2207,0.093,,,0.2185,0.2282,0.2238,0.2076,0.2367,0.224,0.2096,0.232,0.2232,0.0965,,,0.2191,0.2282,0.2283,0.2089,0.2301,0.2224,0.2086,0.231,0.2201,0.0931,,,0.2196,0.235,0.2299,0.2067,0.2211,0.2235,0.2097,0.2237,0.2234,0.0941
10799s,29.9 °C,,0.2559,0.2548,0.2658,0.2562,0.2479,0.2621,0.2811,0.1975,0.2549,0.0922,,,0.2757,0.1981,0.2522,0.2708,0.1972,0.2533,0.2729,0.1956,0.2492,0.0963,,,0.2798,0.1971,0.2567,0.2717,0.1932,0.2471,0.2653,0.188,0.2381,0.0927,,,0.2632,0.1928,0.2419,0.2567,0.1945,0.2377,0.2534,0.1877,0.2363,0.0952,,,0.2455,0.2427,0.2504,0.2408,0.2457,0.2567,0.2369,0.2469,0.2497,0.0928,,,0.2491,0.2603,0.2555,0.2355,0.2679,0.2566,0.2387,0.2633,0.2556,0.0962,,,0.249,0.2607,0.2606,0.2374,0.2602,0.2541,0.2346,0.2601,0.2492,0.093,,,0.2438,0.2601,0.2557,0.2255,0.2414,0.2455,0.2264,0.2421,0.2429,0.0939
12599s,29.9 °C,,0.2899,0.2893,0.3031,0.2911,0.2835,0.3013,0.3231,0.2207,0.2946,0.0922,,,0.3149,0.2223,0.2888,0.3097,0.221,0.2925,0.3154,0.2202,0.2893,0.0962,,,0.3192,0.2212,0.2938,0.3101,0.2161,0.2844,0.3018,0.2101,0.2725,0.0941,,,0.2981,0.214,0.2737,0.2865,0.2127,0.2647,0.28,0.2042,0.2608,0.0954,,,0.2825,0.2784,0.2872,0.2752,0.2799,0.2934,0.2719,0.2829,0.2866,0.0926,,,0.2844,0.2981,0.2927,0.2701,0.3059,0.2961,0.2763,0.3041,0.294,0.0962,,,0.2838,0.2987,0.2981,0.271,0.2967,0.2905,0.2662,0.2945,0.2841,0.0931,,,0.2698,0.2875,0.2831,0.2435,0.2592,0.2658,0.2411,0.2574,0.2581,0.0937
14399s,29.9 °C,,0.3322,0.3335,0.3501,0.3332,0.3247,0.3478,0.3707,0.2524,0.3368,0.0919,,,0.3653,0.2544,0.3344,0.3585,0.2537,0.3366,0.3655,0.2514,0.3313,0.0958,,,0.367,0.2516,0.3368,0.3568,0.2454,0.3263,0.3455,0.2374,0.3101,0.0946,,,0.3346,0.2383,0.3074,0.3163,0.234,0.2965,0.3072,0.2245,0.2866,0.095,,,0.3234,0.3184,0.3301,0.3131,0.3178,0.335,0.3112,0.3243,0.3284,0.0927,,,0.328,0.3441,0.3394,0.3112,0.3505,0.3419,0.3166,0.3482,0.3393,0.0958,,,0.3249,0.3438,0.3425,0.3086,0.3381,0.333,0.3002,0.3319,0.322,0.093,,,0.2973,0.3173,0.3133,0.2619,0.2771,0.2856,0.256,0.2735,0.2761,0.0936
16199s,29.9 °C,,0.3936,0.3901,0.401,0.3873,0.3772,0.3989,0.4159,0.2913,0.3885,0.0918,,,0.4108,0.2905,0.383,0.4042,0.2897,0.3876,0.4132,0.2888,0.3853,0.0959,,,0.4141,0.2871,0.3863,0.4027,0.2799,0.3763,0.394,0.2711,0.3592,0.0953,,,0.3796,0.2684,0.3491,0.3503,0.2557,0.328,0.3368,0.2458,0.3155,0.0952,,,0.3751,0.3677,0.3779,0.3608,0.3631,0.3819,0.3562,0.3688,0.3746,0.0927,,,0.3768,0.3901,0.3852,0.3574,0.3975,0.3879,0.3644,0.3969,0.389,0.0961,,,0.3739,0.393,0.3916,0.3544,0.3836,0.3786,0.3377,0.3716,0.3654,0.093,,,0.3259,0.3472,0.3426,0.2787,0.2948,0.3046,0.269,0.286,0.2892,0.0936
