calibrant,1,2,3,4,5,6,7,8,9,10,11,12
A,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein
B,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein,fluorescein
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,2,2,2,2,2,2,2,2,2,2,2,2
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
dilution,1,2,3,4,5,6,7,8,9,10,11,12
A,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,0.000976563,0
B,1,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,0.000976563,0
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
volume,1,2,3,4,5,6,7,8,9,10,11,12
A,200,200,200,200,200,200,200,200,200,200,200,200
B,200,200,200,200,200,200,200,200,200,200,200,200
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
